date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:05	24749/24749	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2005:19:05%20GMT	https://retail.onlinesbi.sbi/retail/blockatmcard.htm	sbi/s/retail.onlinesbi.sbi/retail/blockatmcard.html	(from https://retail.onlinesbi.sbi/retail/blockatmcardintermediate.htm)
10:49:07	14276/14276	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2005:19:07%20GMT	https://retail.onlinesbi.sbi/retail/newuserregtempusername.htm	sbi/s/retail.onlinesbi.sbi/retail/newuserregtempusername.html	(from https://retail.onlinesbi.sbi/retail/newuserreg.htm)
10:49:08	85718/85718	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2005:19:06%20GMT	https://retail.onlinesbi.sbi/retail/userdrivenregdetails.htm	sbi/s/retail.onlinesbi.sbi/retail/userdrivenregdetails.html	(from https://retail.onlinesbi.sbi/retail/newuserreg.htm)
10:49:08	2176/2176	---M--	404	error ('Not%20Found')	text/html		https://retail.onlinesbi.sbi/retail/OPR/	sbi/s/retail.onlinesbi.sbi/retail/OPR/index.html	(from https://retail.onlinesbi.sbi/retail/login.htm)
10:49:09	2177/2177	---M--	404	error ('Not%20Found')	text/html		https://retail.onlinesbi.sbi/retail/resetloginpasswordwithrefnohighsecurity.htm	sbi/s/retail.onlinesbi.sbi/retail/resetloginpasswordwithrefnohighsecurity.htm	(from https://retail.onlinesbi.sbi/retail/resetloginpwdwithrefno.htm)
10:49:10	91857/91857	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2005:19:08%20GMT	https://retail.onlinesbi.sbi/retail/forgotusernameconfirm.htm	sbi/s/retail.onlinesbi.sbi/retail/forgotusernameconfirm.html	(from https://retail.onlinesbi.sbi/retail/forgotusername.htm)
10:49:10	2177/2177	---M--	404	error ('Not%20Found')	text/html		https://retail.onlinesbi.sbi/retail/blockatmcardsubmit.htm	sbi/s/retail.onlinesbi.sbi/retail/blockatmcardsubmit.17.delayed	(from https://retail.onlinesbi.sbi/retail/blockatmcard.htm)
10:49:11	2176/2176	---M--	404	error ('Not%20Found')	text/html		https://retail.onlinesbi.sbi/retail/userdrivenreginterimdetails.htm	sbi/s/retail.onlinesbi.sbi/retail/userdrivenreginterimdetails.htm	(from https://retail.onlinesbi.sbi/retail/userdrivenregdetails.htm)
10:49:13	14443/14443	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2005:19:13%20GMT	https://retail.onlinesbi.sbi/retail/newuserregtempusernamehighsecurity.htm	sbi/s/retail.onlinesbi.sbi/retail/newuserregtempusernamehighsecurity.html	(from https://retail.onlinesbi.sbi/retail/newuserregtempusername.htm)
10:49:14	173497/173497	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2005:19:12%20GMT	https://retail.onlinesbi.sbi/retail/kioskloginbranchcode.htm	sbi/s/retail.onlinesbi.sbi/retail/kioskloginbranchcode.html	(from https://retail.onlinesbi.sbi/retail/userdrivenregdetails.htm)
